Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_200_PKCS5Padding_1521449838138;57;,00
D_AES_192_CBC_200_PKCS5Padding_1521449838138;76;1,00
D_AES_256_CBC_200_PKCS5Padding_1521449838138;77;,00
D_AES_128_CBC_200_ZeroBytePadding_1521449838138;77;1,00
D_AES_192_CBC_200_ZeroBytePadding_1521449838138;59;,00
D_AES_256_CBC_200_ZeroBytePadding_1521449838138;26;1,00
D_AES_128_ECB_200_PKCS5Padding_1521449838138;63;1,00
D_AES_192_ECB_200_PKCS5Padding_1521449838138;76;,00
D_AES_256_ECB_200_PKCS5Padding_1521449838138;90;,00
D_AES_128_ECB_200_ZeroBytePadding_1521449838138;66;1,00
D_AES_192_ECB_200_ZeroBytePadding_1521449838138;66;,00
D_AES_256_ECB_200_ZeroBytePadding_1521449838138;67;1,00
